510,418
365,-198
382,394
322,790
988,717
98,-878
742,-540
17,271
595,-21
-918,-613
123,765
569,1004
214,-866
737,180
-928,582
-911,365
-386,-653
-977,154
-951,-304
544,-634
-82,782
-800,-769
-913,244
409,-665
339,971
-178,-74
253,967
-604,129
-416,-469
208,186
68,357
817,-329
823,-487
-573,-590
-1022,980
-684,824
-985,305
322,780
-428,-494
559,465
-520,513
957,-973
176,-84
135,885
873,745
-925,304
-644,56
860,987
180,945
358,-682
865,-509
-811,67
630,-885
-162,-363
411,-551
-734,615
993,489
-436,354
680,-1021
899,907
-918,259
-187,-269
-448,-8
-181,222
