-2497, 1267
1605, -12415
-385, 1515
-4162, -1841
-384, -610
-3758, -5062
8081, -1933
8000, 2172
-4062, -8776
6208, -4051
-3877, -5896
727, 6316
-7758, -7566
1096, -3854
-2165, -8667
-503, -1367
-9755, 4097
1508, 230
-11192, 4006
-902, 6213
7021, 4503
3770, -1374
-4531, -357
-9102, -3286
-3976, 3960
-3122, -1311
6631, 1032
9381, -5896
-2096, -2390
8134, -2010
-718, 11374
6838, -2424
283, -3513
-9789, 5481
2895, -91
-1602, 2175
-2386, 7430
3486, -2926
-6469, -1719
-832, -5240
-1534, 520
-1638, -5921
2487, 5932
-329, 6408
-5824, 196
-5122, -468
-1953, 27
3113, -137
-4647, 5185
7600, 6204
-1390, 11046
322, 8837
5029, 10985
410, -706
2607, 2469
-4358, -3570
1836, -5724
2860, -3401
-4105, -2200
-83, 252
-6354, 2612
2096, 3856
1812, -3466
-7164, -2356
-2497, 1267
1605, -12415
-385, 1515
-4162, -1841
-384, -610
-3758, -5062
8081, -1933
8000, 2172
-4062, -8776
6208, -4051
-3877, -5896
727, 6316
-7758, -7566
1096, -3854
-2165, -8667
-503, -1367
