-4882,5246
-624,6759
230,-4607
701,6908
1417,-2180
3046,-10411
5167,1981
-2076,187
3787,-2950
-4560,-2689
11077,-1917
-2888,-2666
-7218,1697
-441,-4516
5465,-520
3633,2967
299,6049
6746,-5691
-776,4193
-374,10245
585,-1132
2507,4438
-6400,-2906
-7287,12866
351,702
-1822,-761
6084,-8916
50,4482
5665,-3602
-345,1782
-2203,-4404
-4395,3231
13826,-1388
8498,1989
-1502,4105
1033,5382
-2597,-2606
-6368,3233
5211,211
-1740,-2739
3757,832
2370,3153
2227,2083
-6142,-5216
510,-3277
487,-508
-2597,4514
10243,-2103
2109,1145
1456,-5361
252,-1931
-10560,12625
-5525,2194
7,3056
3258,6674
3075,-9078
1025,7764
8512,2169
2464,-5954
-6828,-11640
4923,-4926
1091,8782
-3333,1618
-7021,-1915
-4882,5246
-624,6759
230,-4607
701,6908
1417,-2180
3046,-10411
5167,1981
-2076,187
3787,-2950
-4560,-2689
11077,-1917
-2888,-2666
-7218,1697
-441,-4516
5465,-520
3633,2967
